cl_from	cl_to
890274	361955
1069774	1406531
469191	362559
912337	1651050
933577	158625
872544	361955
860707	361955
88806	1668248
845888	1610978
856524	138976
898579	1479969
774947	1479947
152489	990
456335	1022
1238233	1581037
261993	1508514
261993	1508517
372833	1508514
372833	1508517
307957	517858
726659	929
469601	362559
890570	361955
467109	362559
264912	1304
882991	361955
783751	608336
861800	361955
510422	1499163
26432	1479381
805519	1241
597532	1582579
68697	1668248
149658	1326
149658	681680
283678	1306
1194462	1163
869382	361955
734288	1587
314362	838
331684	5355
331684	1597650
592191	5366
313285	5354
313285	10777
313285	10787
82234	5369
82234	10775
82234	10783
82234	10788
730406	910
766930	857
512395	904
339963	10708
696791	984
1040496	1003699
1144319	5369
444758	1509249
729136	10775
729136	10785
134309	1066
291218	897
147362	1070
130035	803
435144	885
134235	900
936338	1581012
383802	1631581
504975	11035
1253583	186073
64052	490651
753718	593951
589461	847
381281	1610958
871296	1488281
817058	361955
67627	362559
753931	1613301
908446	1651050
570652	1620878
461734	1582547
823131	361955
318656	5701
1235092	10804
455442	362559
890339	361955
149659	1322
149659	681680
180348	1284
180348	1286
180348	1554
811642	361955
866151	361955
814992	361955
826022	361955
463451	362559
851082	361955
455872	362559
448428	362559
181346	241708
1180166	312430
523538	11048
722370	1561
878388	361955
149660	1325
149660	681680
737095	1591
1098602	10837
794296	1001825
826019	361955
875097	361955
467310	362559
213211	1651050
892849	361955
457565	362559
457565	1651050
180859	1651050
209829	1651050
213643	1651050
180730	1651050
875094	361955
866182	361955
473393	362559
817963	361955
450703	362559
818399	361955
288770	1001825
820441	361955
502353	1499472
456574	362559
696708	361955
74809	1001825
448379	362559
892194	361955
871194	361955
825011	361955
875469	361955
1237717	490670
457545	362559
459343	362559
846207	361955
463149	362559
816409	5366
816409	1548780
816409	1548783
863686	361955
865699	361955
880778	361955
890556	361955
877788	361955
813017	361955
824231	361955
911926	1651050
444906	362559
467305	362559
455354	1651050
870523	361955
448574	362559
617190	1668249
716521	1225547
694091	362559
348972	1572233
443519	362559
615958	361955
753935	1613301
753936	1613301
473971	362559
753976	1613301
46168	5365
860336	361955
798399	1668202
1025149	5342
856401	361955
931445	1406531
872541	361955
882214	361955
132618	933
1064612	1119
943736	638
341042	5255
341042	5256
341042	5260
341042	5261
341042	5262
341042	5264
1126566	1487
341053	1487
149662	681680
307222	1610970
415227	10822
330019	5345
147672	5392
518639	1499163
462908	362559
835178	361955
149663	681680
753977	1613301
250180	1422
120086	1610978
843619	1610978
825069	1610978
399210	1610978
599576	5369
844699	1658604
172593	594073
505953	1651050
445695	362559
433413	362559
455962	362559
141406	312430
445841	362559
56465	1668249
368993	362559
472933	362559
479730	1631586
460156	362559
454384	362559
868258	361955
585361	361955
861376	361955
280308	312430
152490	990
465217	362559
465030	362559
7577	1213
814882	361955
610010	361955
274746	517858
833180	361955
31715	361955
460602	362559
883187	361955
532258	1406050
304951	1000324
1236809	1049
143149	875
479641	1500434
1009501	1003685
772428	10704
503276	1044
1118629	361955
774175	4736
98234	1456
451658	362559
818174	361955
573189	361955
815909	361955
815909	1499472
747147	361955
727194	361955
820419	361955
122119	517858
635301	593951
700690	196908
530867	849
844167	176929
1191449	623
1191449	624
892411	361955
462537	362559
890866	361955
826041	361955
351429	499514
460373	362559
1199212	312430
875857	361955
139691	495575
827954	361955
1154176	1665726
443807	362559
811335	361955
474871	362559
437407	362559
834362	361955
824902	361955
398829	361955
820951	361955
884990	361955
860716	361955
448589	362559
812915	361955
915732	489159
870773	361955
860341	361955
461830	362559
703940	361955
656540	361955
463494	362559
875995	361955
854223	361955
816876	361955
880933	361955
876593	361955
460807	362559
862027	361955
964442	1568009
149664	681680
864634	361955
1248395	1175
177214	1610978
300524	1610978
1090766	1610978
114312	1509055
152492	922
1249272	312430
1169559	312430
7111	1479381
1013005	1480002
628156	593951
308337	517858
434187	361955
825784	361955
867977	1610978
83512	872
1189643	312430
108774	517858
753978	1613301
257380	1058
452371	704
854264	1610978
152493	922
171714	593951
819381	1668632
675353	25227
675353	1610961
96275	5627
1126874	1631495
152494	921
878628	5349
508769	1597651
826042	361955
303296	1101
458181	362559
120064	5348
120064	10793
878793	361955
658463	1531
738487	957
884871	361955
440939	362559
1230261	5358
1230261	10705
187999	1550796
1118612	1470
1211301	10692
777434	1462
435759	987
341555	1107
1084106	1643901
821980	361955
766483	1619
761635	312430
457886	362559
6186	362559
